ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        0.002103420237593975   1.788659644857611e-05  0.0020758419233831648  9.691717762233454e-06  0.004699232671689589   0.05512318426004123    0.002222114539912755   0.053485794075726914   0.028893398639288876   0.028036405532595492   2974   7244   6.743122187297161e-08  1.990927890298753e-07  0                      8.183262506342287e-07  1.7025156489548607e-06 6.904351851741517e-06 
0           0          1        0.0021034201873390422  1.7886303332616374e-05 0.0020758421662442255  9.691717762199583e-06  0.0046991290308874105  0.05512315164294986    0.002221848282179368   0.05348576093977456    0.02889342090697082    0.02803642953053094    2974   7244   6.743122187301336e-08  1.990927890298752e-07  0                      8.183262506322183e-07  1.7025156489452382e-06 6.904351851719238e-06 
0           0          2        0.0021034201024804546  1.7886362569684865e-05 0.002075842022148682   9.691717762087834e-06  0.00469913237012932    0.055123151474519544   0.002221859401180523   0.05348576050988947    0.02889341247709704    0.02803642535294887    2974   7244   6.743122187307779e-08  1.990927890298747e-07  0                      8.183262506268361e-07  1.7025156489117708e-06 6.904351851646274e-06 
0           0          3        0.0021034199602272988  1.7886506209442776e-05 0.002075841736255908   9.691717761947814e-06  0.004699218498591503   0.05512312936351499    0.002222084462297442   0.05348573870697086    0.028893417935158632   0.028036442679071138   2974   7244   6.743122187324696e-08  1.9909278902987376e-07 0                      8.183262506621252e-07  1.7025156488716702e-06 6.904351851510898e-06 
0           0          4        0.002103419753792322   1.788714108228243e-05  0.002075840894948019   9.691717762019885e-06  0.004699248393648547   0.05512312594697286    0.0022220970504766863  0.05348573925930037    0.028893379020619014   0.028036419565937068   2974   7244   6.743122187378913e-08  1.990927890298711e-07  0                      8.1832625080287e-07    1.7025156488712325e-06 6.904351851442122e-06 
0           0          5        0.0021034195011844963  1.7887914804971622e-05 0.002075839868617259   9.691717762265282e-06  0.004699444399027927   0.055123109946497356   0.002222554762799406   0.05348572032267403    0.02889332995867357    0.028036361898143243   2974   7244   6.743122187483797e-08  1.990927890298645e-07  0                      8.183262509176475e-07  1.7025156488584143e-06 6.9043518515845165e-06
0           0          6        0.0021034192239577664  1.7889254095151008e-05 0.0020758382520999993  9.69171776261669e-06   0.004699618210538945   0.055123038856599686   0.0022229041634015457  0.05348564312641906    0.028893334548746624   0.028036333390809423   2974   7244   6.743122187671504e-08  1.990927890298548e-07  0                      8.18326250939382e-07   1.7025156488434966e-06 6.904351851927242e-06 
0           0          7        0.002103419021763686   1.788917438753523e-05  0.0020758381296127463  9.691717763403606e-06  0.0046995843500823664  0.055122943943026144   0.0022228342468128123  0.05348553563022629    0.028893352186402734   0.028036345398465157   2974   7244   6.743122188014684e-08  1.9909278902984565e-07 0                      8.183262511222295e-07  1.7025156488777131e-06 6.90435185249367e-06  
0           0          8        0.0021034187415618485  1.788995408904711e-05  0.0020758370697090416  9.691717763760161e-06  0.0046996959601237455  0.055122932983580675   0.0022230674770089046  0.05348552129478       0.028893312609156077   0.028036323727987356   2974   7244   6.743122188263702e-08  1.990927890298382e-07  0                      8.183262511287758e-07  1.7025156487896929e-06 6.904351852929217e-06 
0           0          9        0.002103418371590087   1.7889770189867264e-05 0.0020758368836354627  9.691717764755569e-06  0.004699509010782272   0.05512286484557625    0.0022226118416904528  0.05348545019281849    0.0288933108435987     0.02803631145650514    2974   7244   6.743122188627054e-08  1.9909278902983e-07    0                      8.18326250991279e-07   1.7025156487487219e-06 6.904351854099468e-06 
0           0          10       0.002103417897736399   1.789095936453531e-05  0.0020758352206054556  9.69171776640684e-06   0.004699668268216244   0.05512290655396179    0.0022229683537864048  0.05348549178381828    0.028893338606522906   0.02803633203082793    2974   7244   6.743122189143362e-08  1.9909278902981884e-07 0                      8.183262510132156e-07  1.7025156488308716e-06 6.904351855641499e-06 
0           0          11       0.002103417752181141   1.788880157964199e-05  0.0020758372328328763  9.691717768621351e-06  0.0046987496441630045  0.055122783700818884   0.002220681714908756   0.05348536436808873    0.028893253695917977   0.028036267133130746   2974   7244   6.74312218991627e-08   1.9909278902980767e-07 0                      8.183262512955845e-07  1.7025156489632635e-06 6.904351857433532e-06 
0           0          12       0.0021034175286493988  1.7889192151236865e-05 0.0020758366187292867  9.691717768875405e-06  0.004699010322352941   0.055122765193020055   0.002221358377341983   0.053485344402208215   0.02889325087694383    0.02803626079342677    2974   7244   6.743122190196098e-08  1.990927890298009e-07  0                      8.183262512350724e-07  1.7025156488858358e-06 6.904351857822735e-06 
0           0          13       0.0021034172015004554  1.7888726112051527e-05 0.002075836757618716   9.691717769686588e-06  0.004698996641282455   0.05512274991101442    0.002221380421264582   0.053485325409740755   0.028893278094233546   0.02803628682986551    2974   7244   6.743122190696205e-08  1.9909278902979142e-07 0                      8.183262514846532e-07  1.7025156490338658e-06 6.904351858231316e-06 
0           0          14       0.0021034167319738733  1.788872787310315e-05  0.002075836286331756   9.691717769014823e-06  0.004699172840893927   0.05512272962100864    0.0022218839830513057  0.05348531257341775    0.028893240979496852   0.02803625188835778    2974   7244   6.743122191535877e-08  1.9909278902977755e-07 0                      8.183262515917046e-07  1.7025156488105049e-06 6.9043518576674786e-06
0           0          15       0.0021034159937231497  1.7887874577001115e-05 0.0020758364013781804  9.691717767969588e-06  0.004699002054830689   0.05512275025861286    0.002221518070870226   0.0534853357983691     0.02889324214862523    0.02803624969861129    2974   7244   6.743122192825618e-08  1.9909278902976328e-07 0                      8.183262516808458e-07  1.702515648580729e-06  6.904351856749993e-06 
